2025,1,0
2025,2,0
2025,3,0
2025,4,0
2025,5,0
2025,6,0
2025,7,0
2025,8,0
2025,9,0
2025,10,0
2025,11,0
2025,12,0
2025,13,0
2025,14,0
2025,15,0
2025,16,0
2025,17,0
2025,18,0
2025,19,0
2025,20,0
2025,21,0
2025,22,1
2025,23,0
2025,24,0
2025,25,0
2025,26,0
2025,27,0
2025,28,0
2025,29,0
2025,30,0
2025,31,0
2025,32,0
2025,33,0
2025,34,0
2025,35,0
2025,36,0
2025,37,0
2025,38,0
2025,39,0
2025,40,0
2025,41,0
2025,42,0
2025,43,0
2025,44,0
2025,45,0
2025,46,0
2025,47,0
2025,48,0
2025,49,0
2025,50,0
2025,51,0
2025,52,0
2025,53,0
2025,54,0
2025,55,0
2025,56,0
2025,57,0
2025,58,0
2025,59,0
2025,60,0
2025,61,0
2025,62,0
2025,63,0
2025,64,0
2025,65,0
2025,66,0
2025,67,0
2025,68,0
2025,69,0
2025,70,0
2025,71,0
2025,72,0
2025,73,0
2025,74,0
2025,75,0
2025,76,0
2025,77,0
2025,78,0
2025,79,0
2025,80,0
2025,81,0
2025,82,0
2025,83,0
2025,84,0
2025,85,0
2025,86,0
2025,87,0
2025,88,0
2025,89,0
2025,90,0
2025,91,0
2025,92,0
2025,93,0
2025,94,0
2025,95,0
2025,96,0
2025,97,0
2025,98,0
2025,99,0
2025,100,0
2025,101,0
2025,102,0
2025,103,0
2025,104,0
2025,105,0
2025,106,0
2025,107,0
2025,108,0
2025,109,0
2025,110,0
2025,111,0
2025,112,0
2025,113,0
2025,114,0
2025,115,0
2025,116,0
2025,117,0
2025,118,0
2025,119,0
2025,120,0
2025,121,0
2025,122,0
2025,123,0
2025,124,0
2025,125,0
2025,126,0
2025,127,0
2025,128,0
2025,129,0
2025,130,0
2025,131,0
2025,132,0
2025,133,0
2025,134,0
2025,135,0
2025,136,0
2025,137,0
2025,138,0
2025,139,0
2025,140,0
2025,141,0
2025,142,0
2025,143,0
2025,144,0
2025,145,0
2025,146,0
2025,147,0
2025,148,0
2025,149,0
2025,150,0
2025,151,0
2025,152,0
2025,153,0
2025,154,0
2025,155,0
2025,156,0
2025,157,0
2025,158,0
2025,159,0
2025,160,0
2025,161,0
2025,162,0
2025,163,0
2025,164,0
2025,165,0
2025,166,0
2025,167,0
2025,168,0
2025,169,0
2025,170,0
2025,171,0
2025,172,0
2025,173,0
2025,174,0
2025,175,0
2025,176,0
2025,177,0
2025,178,0
2025,179,0
2025,180,0
2025,181,0
2025,182,0
2025,183,0
2025,184,0
2025,185,0
2025,186,0
2025,187,0
2025,188,0
2025,189,0
2025,190,0
2025,191,0
2025,192,0
2025,193,0
2025,194,0
2025,195,0
2025,196,0
2025,197,0
2025,198,0
2025,199,0
2025,200,0
