2014,1,0
2014,2,0
2014,3,0
2014,4,0
2014,5,0
2014,6,0
2014,7,0
2014,8,0
2014,9,0
2014,10,0
2014,11,0
2014,12,0
2014,13,0
2014,14,0
2014,15,0
2014,16,0
2014,17,0
2014,18,0
2014,19,0
2014,20,0
2014,21,0
2014,22,0
2014,23,0
2014,24,0
2014,25,0
2014,26,0
2014,27,0
2014,28,0
2014,29,0
2014,30,0
2014,31,0
2014,32,0
2014,33,0
2014,34,0
2014,35,0
2014,36,0
2014,37,0
2014,38,0
2014,39,0
2014,40,0
2014,41,0
2014,42,0
2014,43,0
2014,44,0
2014,45,0
2014,46,0
2014,47,0
2014,48,0
2014,49,0
2014,50,0
2014,51,0
2014,52,0
2014,53,0
2014,54,0
2014,55,0
2014,56,0
2014,57,0
2014,58,0
2014,59,0
2014,60,0
2014,61,0
2014,62,0
2014,63,0
2014,64,0
2014,65,0
2014,66,0
2014,67,0
2014,68,0
2014,69,0
2014,70,0
2014,71,0
2014,72,0
2014,73,0
2014,74,0
2014,75,0
2014,76,0
2014,77,0
2014,78,0
2014,79,0
2014,80,0
2014,81,0
2014,82,0
2014,83,0
2014,84,0
2014,85,0
2014,86,0
2014,87,0
2014,88,0
2014,89,0
2014,90,0
2014,91,0
2014,92,0
2014,93,0
2014,94,0
2014,95,0
2014,96,0
2014,97,0
2014,98,0
2014,99,0
2014,100,0
2014,101,0
2014,102,0
2014,103,1
2014,104,0
2014,105,0
2014,106,0
2014,107,0
2014,108,0
2014,109,0
2014,110,0
2014,111,0
2014,112,0
2014,113,0
2014,114,0
2014,115,0
2014,116,0
2014,117,0
2014,118,0
2014,119,0
2014,120,0
2014,121,0
2014,122,0
2014,123,0
2014,124,0
2014,125,0
2014,126,0
2014,127,0
2014,128,0
2014,129,0
2014,130,0
2014,131,0
2014,132,0
2014,133,0
2014,134,0
2014,135,0
2014,136,0
2014,137,0
2014,138,0
2014,139,0
2014,140,0
2014,141,0
2014,142,0
2014,143,0
2014,144,0
2014,145,0
2014,146,0
2014,147,0
2014,148,0
2014,149,0
2014,150,0
2014,151,0
2014,152,0
2014,153,0
2014,154,0
2014,155,0
2014,156,0
2014,157,0
2014,158,0
2014,159,0
2014,160,0
2014,161,0
2014,162,0
2014,163,0
2014,164,0
2014,165,0
2014,166,0
2014,167,0
2014,168,0
2014,169,0
2014,170,0
2014,171,0
2014,172,0
2014,173,0
2014,174,0
2014,175,0
2014,176,0
2014,177,0
2014,178,0
2014,179,0
2014,180,0
2014,181,0
2014,182,0
2014,183,0
2014,184,0
2014,185,0
2014,186,0
2014,187,0
2014,188,0
2014,189,0
2014,190,0
2014,191,0
2014,192,0
2014,193,0
2014,194,0
2014,195,0
2014,196,0
2014,197,1
2014,198,0
2014,199,0
2014,200,1
