185,1,0
185,2,0
185,3,0
185,4,0
185,5,0
185,6,0
185,7,0
185,8,0
185,9,0
185,10,0
185,11,0
185,12,0
185,13,0
185,14,0
185,15,0
185,16,0
185,17,0
185,18,0
185,19,0
185,20,0
185,21,0
185,22,0
185,23,0
185,24,0
185,25,0
185,26,0
185,27,0
185,28,0
185,29,0
185,30,0
185,31,0
185,32,0
185,33,0
185,34,0
185,35,0
185,36,0
185,37,0
185,38,0
185,39,0
185,40,0
185,41,0
185,42,0
185,43,0
185,44,0
185,45,0
185,46,0
185,47,0
185,48,0
185,49,0
185,50,0
185,51,0
185,52,0
185,53,0
185,54,0
185,55,0
185,56,0
185,57,0
185,58,0
185,59,0
185,60,0
185,61,0
185,62,0
185,63,0
185,64,0
185,65,1
185,66,0
185,67,0
185,68,0
185,69,0
185,70,1
185,71,0
185,72,0
185,73,0
185,74,0
185,75,0
185,76,0
185,77,0
185,78,0
185,79,0
185,80,0
185,81,0
185,82,0
185,83,0
185,84,0
185,85,0
185,86,0
185,87,0
185,88,0
185,89,0
185,90,0
185,91,0
185,92,0
185,93,0
185,94,0
185,95,0
185,96,0
185,97,0
185,98,0
185,99,0
185,100,0
185,101,0
185,102,0
185,103,0
185,104,0
185,105,0
185,106,0
185,107,0
185,108,0
185,109,0
185,110,0
185,111,0
185,112,0
185,113,0
185,114,0
185,115,0
185,116,0
185,117,0
185,118,0
185,119,0
185,120,0
185,121,0
185,122,0
185,123,0
185,124,0
185,125,0
185,126,0
185,127,0
185,128,0
185,129,0
185,130,0
185,131,0
185,132,0
185,133,0
185,134,0
185,135,0
185,136,0
185,137,0
185,138,0
185,139,0
185,140,0
185,141,0
185,142,0
185,143,0
185,144,0
185,145,0
185,146,1
185,147,0
185,148,0
185,149,0
185,150,0
185,151,0
185,152,0
185,153,0
185,154,0
185,155,0
185,156,0
185,157,0
185,158,0
185,159,0
185,160,0
185,161,0
185,162,0
185,163,0
185,164,0
185,165,0
185,166,0
185,167,0
185,168,0
185,169,0
185,170,0
185,171,0
185,172,0
185,173,0
185,174,0
185,175,0
185,176,0
185,177,0
185,178,0
185,179,0
185,180,0
185,181,0
185,182,0
185,183,0
185,184,0
185,185,0
185,186,0
185,187,0
185,188,0
185,189,0
185,190,0
185,191,0
185,192,0
185,193,0
185,194,0
185,195,0
185,196,0
185,197,0
185,198,0
185,199,0
185,200,0
